resource_type,key,plural_variable,plural_category,comment,english_value,locale,current_value,status,reviewer_notes
strings,Edit Task,,,,Edit Task,pt-BR,Editar tarefa,draft-translation,
strings,Edit Task,,,,Edit Task,ru,Изменить задачу,draft-translation,
strings,Edit Task,,,,Edit Task,es,Editar tarea,draft-translation,
strings,Edit Task,,,,Edit Task,sv,Redigera uppgift,draft-translation,
strings,Edit Task,,,,Edit Task,zh-Hans,编辑任务,draft-translation,
strings,Edit Task,,,,Edit Task,zh-Hant,編輯任務,draft-translation,
strings,Edit Task,,,,Edit Task,tr,Görevi düzenle,draft-translation,
strings,Edit Task,,,,Edit Task,uk,Редагувати завдання,draft-translation,
strings,Edit Task,,,,Edit Task,vi,Sửa nhiệm vụ,draft-translation,
strings,End,,,,End,en,End,english-source,
strings,End,,,,End,ar,نهاية,draft-translation,
strings,End,,,,End,nl,Einde,draft-translation,
strings,End,,,,End,fr,Fin,draft-translation,
strings,End,,,,End,de,Ende,draft-translation,
strings,End,,,,End,it,Fine,draft-translation,
strings,End,,,,End,ja,終了,draft-translation,
strings,End,,,,End,ko,종료,draft-translation,
strings,End,,,,End,nb,Slutt,draft-translation,
strings,End,,,,End,pt,Fim,draft-translation,
strings,End,,,,End,pt-BR,Fim,draft-translation,
strings,End,,,,End,ru,Конец,draft-translation,
strings,End,,,,End,es,Fin,draft-translation,
strings,End,,,,End,sv,Slut,draft-translation,
strings,End,,,,End,zh-Hans,结束,draft-translation,
strings,End,,,,End,zh-Hant,結束,draft-translation,
strings,End,,,,End,tr,Bitiş,draft-translation,
strings,End,,,,End,uk,Кінець,draft-translation,
strings,End,,,,End,vi,Kết thúc,draft-translation,
strings,Energy,,,,Energy,en,Energy,english-source,
strings,Energy,,,,Energy,ar,الطاقة,draft-translation,
strings,Energy,,,,Energy,nl,Energie,draft-translation,
strings,Energy,,,,Energy,fr,Énergie,draft-translation,
strings,Energy,,,,Energy,de,Energie,draft-translation,
strings,Energy,,,,Energy,it,Energia,draft-translation,
strings,Energy,,,,Energy,ja,エネルギー,draft-translation,
strings,Energy,,,,Energy,ko,에너지,draft-translation,
strings,Energy,,,,Energy,nb,Energi,draft-translation,
strings,Energy,,,,Energy,pt,Energia,draft-translation,
strings,Energy,,,,Energy,pt-BR,Energia,draft-translation,
strings,Energy,,,,Energy,ru,Энергия,draft-translation,
strings,Energy,,,,Energy,es,Energía,draft-translation,
strings,Energy,,,,Energy,sv,Energi,draft-translation,
strings,Energy,,,,Energy,zh-Hans,能量,draft-translation,
strings,Energy,,,,Energy,zh-Hant,能量,draft-translation,
strings,Energy,,,,Energy,tr,Enerji,draft-translation,
strings,Energy,,,,Energy,uk,Енергія,draft-translation,
strings,Energy,,,,Energy,vi,Năng lượng,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,en,Evening Reflection,english-source,
strings,Evening Reflection,,,,Evening Reflection,ar,تأمل المساء,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,nl,Avondreflectie,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,fr,Réflexion du soir,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,de,Abendreflexion,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,it,Riflessione serale,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,ja,夕方の振り返り,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,ko,저녁 회고,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,nb,Kveldsrefleksjon,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,pt,Reflexão noturna,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,pt-BR,Reflexão noturna,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,ru,Вечерняя рефлексия,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,es,Reflexión vespertina,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,sv,Kvällsreflektion,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,zh-Hans,晚间反思,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,zh-Hant,晚間反思,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,tr,Akşam yansıması,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,uk,Вечірня рефлексія,draft-translation,
strings,Evening Reflection,,,,Evening Reflection,vi,Phản hồi buổi tối,draft-translation,
strings,Focus,,,,Focus,en,Focus,english-source,
strings,Focus,,,,Focus,ar,التركيز,draft-translation,
strings,Focus,,,,Focus,nl,Focus,english-placeholder,
strings,Focus,,,,Focus,fr,Focus,english-placeholder,
strings,Focus,,,,Focus,de,Fokus,draft-translation,
strings,Focus,,,,Focus,it,Focus,english-placeholder,
strings,Focus,,,,Focus,ja,フォーカス,draft-translation,
strings,Focus,,,,Focus,ko,포커스,draft-translation,
strings,Focus,,,,Focus,nb,Fokus,draft-translation,
strings,Focus,,,,Focus,pt,Focus,english-placeholder,
strings,Focus,,,,Focus,pt-BR,Foco,draft-translation,
strings,Focus,,,,Focus,ru,Фокус,draft-translation,
strings,Focus,,,,Focus,es,Foco,draft-translation,
strings,Focus,,,,Focus,sv,Fokus,draft-translation,
strings,Focus,,,,Focus,zh-Hans,专注,draft-translation,
strings,Focus,,,,Focus,zh-Hant,專注,draft-translation,
strings,Focus,,,,Focus,tr,Odak,draft-translation,
strings,Focus,,,,Focus,uk,Фокус,draft-translation,
strings,Focus,,,,Focus,vi,Trọng tâm,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,en,Focus Suggestions,english-source,
strings,Focus Suggestions,,,,Focus Suggestions,ar,اقتراحات التركيز,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,nl,Focus-suggesties,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,fr,Suggestions Focus,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,de,Fokusvorschläge,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,it,Suggerimenti Focus,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,ja,フォーカスの提案,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,ko,포커스 제안,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,nb,Fokus-forslag,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,pt,Sugestões de Focus,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,pt-BR,Sugestões de foco,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,ru,Предложения для Фокуса,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,es,Sugerencias de Foco,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,sv,Fokusförslag,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,zh-Hans,专注建议,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,zh-Hant,專注建議,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,tr,Odak önerileri,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,uk,Пропозиції для Фокусу,draft-translation,
strings,Focus Suggestions,,,,Focus Suggestions,vi,Gợi ý trọng tâm,draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",en,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",english-source,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",ar,التركيز يعيش في متابعة. اسحب صفوف التركيز لتمييزها كمكتملة أو تأجيلها أو إسقاطها.,draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",nl,"Focus leeft in Doorgaan. Veeg Focus-rijen om af te ronden, uit te stellen of te laten vallen.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",fr,"Focus se trouve dans Continuer. Glissez les lignes de Focus pour marquer terminé, reporter ou abandonner.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",de,"Fokus befindet sich unter „Weiter“. Wische Fokus-Zeilen, um sie als erledigt zu markieren, aufzuschieben oder zu verwerfen.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",it,"Focus si trova in Continua. Scorri le righe Focus per segnare come fatto, rinviare o scartare.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",ja,フォーカスは「続ける」にあります。フォーカス行をスワイプして完了・延期・破棄を選択できます。,draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",ko,"포커스는 계속에 있습니다. 포커스 행을 스와이프하여 완료, 연기 또는 버리기를 선택하세요.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",nb,"Fokus finnes i Fortsett. Sveip Fokus-rader for å markere som ferdig, utsette eller forkaste.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",pt,"O Focus está em Continuar. Deslize as linhas de Focus para concluir, adiar ou descartar.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",pt-BR,"O foco está em Continuar. Deslize as linhas de foco para concluir, adiar ou descartar.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",ru,"Фокус живёт в Продолжении. Проведите по строкам Фокуса, чтобы отметить выполнено, отложить или отбросить.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",es,"El Foco vive en Continuar. Desliza las filas de Foco para marcar hecho, aplazar o descartar.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",sv,"Fokus finns i Fortsätt. Svep på Fokus-rader för att markera klar, skjuta upp eller släppa.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",zh-Hans,专注位于「继续」中。在专注行上滑动可标记为完成、推迟或丢弃。,draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",zh-Hant,專注位於「繼續」中。在專注列上滑動可標示為完成、延後或捨棄。,draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",tr,"Odak, Devam içinde bulunur. Odak satırlarını kaydırarak tamamla, ertele veya at.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",uk,"Фокус знаходиться в Продовжити. Проведіть пальцем по рядках Фокусу, щоб позначити виконано, відкласти або скинути.",draft-translation,
strings,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",,,,"Focus lives in Continue. Swipe Focus-backed rows to mark done, defer, or drop.",vi,"Trọng tâm nằm trong Tiếp tục. Vuốt các hàng Trọng tâm để đánh dấu hoàn tất, hoãn hoặc bỏ.",draft-translation,
strings,Good to see you,,,,Good to see you,en,Good to see you,english-source,
strings,Good to see you,,,,Good to see you,ar,من الجيد رؤيتك,draft-translation,
strings,Good to see you,,,,Good to see you,nl,Leuk je te zien,draft-translation,
strings,Good to see you,,,,Good to see you,fr,Content de vous revoir,draft-translation,
strings,Good to see you,,,,Good to see you,de,"Schön, Sie zu sehen",draft-translation,
strings,Good to see you,,,,Good to see you,it,È bello vederti,draft-translation,
strings,Good to see you,,,,Good to see you,ja,お会いできて嬉しいです,draft-translation,
strings,Good to see you,,,,Good to see you,ko,만나서 반갑습니다,draft-translation,
strings,Good to see you,,,,Good to see you,nb,Hyggelig å se deg,draft-translation,
strings,Good to see you,,,,Good to see you,pt,Bom voltar a vê-lo,draft-translation,
strings,Good to see you,,,,Good to see you,pt-BR,Bom te ver,draft-translation,
strings,Good to see you,,,,Good to see you,ru,Рады вас видеть,draft-translation,
strings,Good to see you,,,,Good to see you,es,Me alegra verte,draft-translation,
strings,Good to see you,,,,Good to see you,sv,Kul att se dig,draft-translation,
strings,Good to see you,,,,Good to see you,zh-Hans,很高兴见到你,draft-translation,
strings,Good to see you,,,,Good to see you,zh-Hant,很高興見到你,draft-translation,
strings,Good to see you,,,,Good to see you,tr,Sizi görmek güzel,draft-translation,
strings,Good to see you,,,,Good to see you,uk,Раді бачити,draft-translation,
strings,Good to see you,,,,Good to see you,vi,Rất vui được gặp bạn,draft-translation,
strings,Hardest day,,,,Hardest day,en,Hardest day,english-source,
strings,Hardest day,,,,Hardest day,ar,أصعب يوم,draft-translation,
strings,Hardest day,,,,Hardest day,nl,Zwaarste dag,draft-translation,
strings,Hardest day,,,,Hardest day,fr,Jour le plus dur,draft-translation,
strings,Hardest day,,,,Hardest day,de,Schwerster Tag,draft-translation,
strings,Hardest day,,,,Hardest day,it,Giorno più difficile,draft-translation,
strings,Hardest day,,,,Hardest day,ja,一番つらい日,draft-translation,
strings,Hardest day,,,,Hardest day,ko,가장 힘든 날,draft-translation,
strings,Hardest day,,,,Hardest day,nb,Hardeste dag,draft-translation,
strings,Hardest day,,,,Hardest day,pt,Dia mais difícil,draft-translation,
strings,Hardest day,,,,Hardest day,pt-BR,Dia mais difícil,draft-translation,
strings,Hardest day,,,,Hardest day,ru,Самый трудный день,draft-translation,
strings,Hardest day,,,,Hardest day,es,Día más duro,draft-translation,
strings,Hardest day,,,,Hardest day,sv,Tuffaste dag,draft-translation,
strings,Hardest day,,,,Hardest day,zh-Hans,最艰难一天,draft-translation,
strings,Hardest day,,,,Hardest day,zh-Hant,最艱難一天,draft-translation,
strings,Hardest day,,,,Hardest day,tr,En zor gün,draft-translation,
strings,Hardest day,,,,Hardest day,uk,Найважчий день,draft-translation,
strings,Hardest day,,,,Hardest day,vi,Ngày khó khăn nhất,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,en,Here's what's active across your life.,english-source,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,ar,إليك ما هو نشط في حياتك.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,nl,Dit is wat actief is in je leven.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,fr,Voici ce qui est actif dans votre vie.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,de,Das ist in Ihrem Leben gerade aktiv.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,it,Ecco cosa è attivo nella tua vita.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,ja,あなたの生活でアクティブなものはこちらです。,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,ko,당신의 삶에서 활성화된 것들입니다.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,nb,Her er det som er aktivt i livet ditt.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,pt,Eis o que está ativo na sua vida.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,pt-BR,Veja o que está ativo na sua vida.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,ru,Вот что сейчас активно в вашей жизни.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,es,Esto es lo que está activo en tu vida.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,sv,Här är vad som är aktivt i ditt liv.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,zh-Hans,这是你生活中正在进行的事项。,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,zh-Hant,這是你生活中正在進行的事項。,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,tr,Hayatınızda aktif olanlar bunlar.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,uk,Ось що зараз активне у вашому житті.,draft-translation,
strings,Here's what's active across your life.,,,,Here's what's active across your life.,vi,Đây là những gì đang diễn ra trong cuộc sống của bạn.,draft-translation,
strings,Highlights,,,,Highlights,en,Highlights,english-source,
strings,Highlights,,,,Highlights,ar,أبرز اللحظات,draft-translation,
strings,Highlights,,,,Highlights,nl,Hoogtepunten,draft-translation,
strings,Highlights,,,,Highlights,fr,Faits marquants,draft-translation,
strings,Highlights,,,,Highlights,de,Höhepunkte,draft-translation,
strings,Highlights,,,,Highlights,it,Momenti salienti,draft-translation,
strings,Highlights,,,,Highlights,ja,ハイライト,draft-translation,
strings,Highlights,,,,Highlights,ko,하이라이트,draft-translation,
strings,Highlights,,,,Highlights,nb,Høydepunkter,draft-translation,
strings,Highlights,,,,Highlights,pt,Destaques,draft-translation,
strings,Highlights,,,,Highlights,pt-BR,Destaques,draft-translation,
strings,Highlights,,,,Highlights,ru,Главное,draft-translation,
strings,Highlights,,,,Highlights,es,Destacados,draft-translation,
strings,Highlights,,,,Highlights,sv,Höjdpunkter,draft-translation,
strings,Highlights,,,,Highlights,zh-Hans,亮点,draft-translation,
strings,Highlights,,,,Highlights,zh-Hant,重點,draft-translation,
strings,Highlights,,,,Highlights,tr,Öne çıkanlar,draft-translation,
strings,Highlights,,,,Highlights,uk,Головне,draft-translation,
strings,Highlights,,,,Highlights,vi,Điểm nổi bật,draft-translation,
strings,History,,,,History,en,History,english-source,
strings,History,,,,History,ar,السجل,draft-translation,
strings,History,,,,History,nl,Geschiedenis,draft-translation,
strings,History,,,,History,fr,Historique,draft-translation,
strings,History,,,,History,de,Verlauf,draft-translation,
strings,History,,,,History,it,Cronologia,draft-translation,
strings,History,,,,History,ja,履歴,draft-translation,
strings,History,,,,History,ko,기록,draft-translation,
strings,History,,,,History,nb,Historikk,draft-translation,
strings,History,,,,History,pt,Histórico,draft-translation,
strings,History,,,,History,pt-BR,Histórico,draft-translation,
strings,History,,,,History,ru,История,draft-translation,
strings,History,,,,History,es,Historial,draft-translation,
strings,History,,,,History,sv,Historik,draft-translation,
strings,History,,,,History,zh-Hans,历史,draft-translation,
strings,History,,,,History,zh-Hant,歷史,draft-translation,
strings,History,,,,History,tr,Geçmiş,draft-translation,
strings,History,,,,History,uk,Історія,draft-translation,
strings,History,,,,History,vi,Lịch sử,draft-translation,
strings,Home,,,,Home,en,Home,english-source,
strings,Home,,,,Home,ar,المنزل,draft-translation,
strings,Home,,,,Home,nl,Thuis,draft-translation,
strings,Home,,,,Home,fr,Maison,draft-translation,
strings,Home,,,,Home,de,Haushalt,draft-translation,
strings,Home,,,,Home,it,Casa,draft-translation,
strings,Home,,,,Home,ja,ホーム,draft-translation,
strings,Home,,,,Home,ko,홈,draft-translation,
strings,Home,,,,Home,nb,Hjem,draft-translation,
strings,Home,,,,Home,pt,Casa,draft-translation,
strings,Home,,,,Home,pt-BR,Casa,draft-translation,
strings,Home,,,,Home,ru,Дом,draft-translation,
strings,Home,,,,Home,es,Hogar,draft-translation,
strings,Home,,,,Home,sv,Hem,draft-translation,
strings,Home,,,,Home,zh-Hans,家,draft-translation,
strings,Home,,,,Home,zh-Hant,家,draft-translation,
strings,Home,,,,Home,tr,Ev,draft-translation,
strings,Home,,,,Home,uk,Дім,draft-translation,
strings,Home,,,,Home,vi,Nhà,draft-translation,
strings,How did it go?,,,,How did it go?,en,How did it go?,english-source,
strings,How did it go?,,,,How did it go?,ar,كيف سار الأمر؟,draft-translation,
strings,How did it go?,,,,How did it go?,nl,Hoe ging het?,draft-translation,
strings,How did it go?,,,,How did it go?,fr,Comment cela s'est-il passé ?,draft-translation,
strings,How did it go?,,,,How did it go?,de,Wie ist es gelaufen?,draft-translation,
strings,How did it go?,,,,How did it go?,it,Com'è andata?,draft-translation,
strings,How did it go?,,,,How did it go?,ja,どうでしたか?,draft-translation,
strings,How did it go?,,,,How did it go?,ko,어떻게 되었나요?,draft-translation,
strings,How did it go?,,,,How did it go?,nb,Hvordan gikk det?,draft-translation,
strings,How did it go?,,,,How did it go?,pt,Como correu?,draft-translation,
strings,How did it go?,,,,How did it go?,pt-BR,Como foi?,draft-translation,
strings,How did it go?,,,,How did it go?,ru,Как прошло?,draft-translation,
strings,How did it go?,,,,How did it go?,es,¿Cómo fue?,draft-translation,
strings,How did it go?,,,,How did it go?,sv,Hur gick det?,draft-translation,
strings,How did it go?,,,,How did it go?,zh-Hans,结果如何?,draft-translation,
strings,How did it go?,,,,How did it go?,zh-Hant,結果如何?,draft-translation,
strings,How did it go?,,,,How did it go?,tr,Nasıl gitti?,draft-translation,
strings,How did it go?,,,,How did it go?,uk,Як пройшло?,draft-translation,
strings,How did it go?,,,,How did it go?,vi,Diễn ra thế nào?,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,en,Include this block when reporting a problem so the build can be reproduced exactly.,english-source,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,ar,أدرج هذه الكتلة عند الإبلاغ عن مشكلة حتى يمكن إعادة إنتاج البناء بالضبط.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,nl,Voeg dit blok toe bij het melden van een probleem zodat de build precies kan worden gereproduceerd.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,fr,Incluez ce bloc lors du signalement d'un problème pour reproduire exactement le build.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,de,"Fügen Sie diesen Block einem Fehlerbericht bei, damit der Build exakt reproduziert werden kann.",draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,it,Includi questo blocco quando segnali un problema in modo che la build possa essere riprodotta esattamente.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,ja,ビルドを正確に再現できるよう、問題を報告する際にはこのブロックを含めてください。,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,ko,문제를 보고할 때 빌드를 정확히 재현할 수 있도록 이 블록을 포함하세요.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,nb,Inkluder denne blokken når du rapporterer et problem så build-en kan reproduseres nøyaktig.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,pt,Inclua este bloco ao reportar um problema para que a build possa ser reproduzida exatamente.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,pt-BR,Inclua este bloco ao reportar um problema para que a build possa ser reproduzida exatamente.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,ru,"Включите этот блок при сообщении о проблеме, чтобы сборку можно было воспроизвести точно.",draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,es,Incluye este bloque al reportar un problema para reproducir exactamente la build.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,sv,Inkludera detta block när du rapporterar ett problem så att build kan reproduceras exakt.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,zh-Hans,报告问题时请附上此块，以便精确重现该构建。,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,zh-Hant,回報問題時請附上此區塊，以便精確重現該建置。,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,tr,Bir sorunu bildirirken yapının tam olarak yeniden üretilebilmesi için bu bloğu ekleyin.,draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,uk,"Додайте цей блок при повідомленні про проблему, щоб збірку можна було точно відтворити.",draft-translation,
strings,Include this block when reporting a problem so the build can be reproduced exactly.,,,,Include this block when reporting a problem so the build can be reproduced exactly.,vi,Bao gồm khối này khi báo cáo sự cố để có thể tái tạo bản dựng chính xác.,draft-translation,
strings,Insight,,,,Insight,en,Insight,english-source,
strings,Insight,,,,Insight,ar,رؤية,draft-translation,
strings,Insight,,,,Insight,nl,Inzicht,draft-translation,
strings,Insight,,,,Insight,fr,Constat,draft-translation,
strings,Insight,,,,Insight,de,Einblick,draft-translation,
strings,Insight,,,,Insight,it,Spunto,draft-translation,
strings,Insight,,,,Insight,ja,洞察,draft-translation,
strings,Insight,,,,Insight,ko,통찰,draft-translation,
strings,Insight,,,,Insight,nb,Innsikt,draft-translation,
strings,Insight,,,,Insight,pt,Insight,english-placeholder,
strings,Insight,,,,Insight,pt-BR,Insight,english-placeholder,
strings,Insight,,,,Insight,ru,Инсайт,draft-translation,
strings,Insight,,,,Insight,es,Insight,english-placeholder,
strings,Insight,,,,Insight,sv,Insikt,draft-translation,
strings,Insight,,,,Insight,zh-Hans,洞见,draft-translation,
strings,Insight,,,,Insight,zh-Hant,洞見,draft-translation,
strings,Insight,,,,Insight,tr,İçgörü,draft-translation,
strings,Insight,,,,Insight,uk,Інсайт,draft-translation,
strings,Insight,,,,Insight,vi,Hiểu biết,draft-translation,
strings,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",,,,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",en,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",english-source,
strings,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",,,,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",ar,العناصر التي تحمل شارة يوم تم ترحيلها لبضعة أيام. يمكن سحب صفوف التركيز لتمييزها كمكتملة أو تأجيلها أو إسقاطها.,draft-translation,
strings,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",,,,"Items with a day badge have been carried for a few days. Focus-backed rows can be swiped to mark done, defer, or drop.",nl,"Items met een dagbadge zijn al een paar dagen meegenomen. Focus-rijen kun je vegen om af te ronden, uit te stellen of te laten vallen.",draft-translation,
